"ID","log.M1.","log.GNP.","rs","rl"
"1",6.11124558542704,7.24907290059983,0.0108,0.026133333
"2",6.11589212548303,7.24508429132333,0.0081333333,0.025233333
"3",6.12926805125518,7.25700270709207,0.0087,0.0249
"4",6.14117682033631,7.27156471182147,0.010366667,0.025666667
"5",6.15188126851389,7.29274553390092,0.0126,0.027466667
"6",6.1593067826371,7.30364132064331,0.015133333,0.028166667
"7",6.16247234400166,7.31688034792179,0.018633333,0.029266667
"8",6.16184003288354,7.32560998473622,0.023466667,0.0289
"9",6.16415655492609,7.32363265743761,0.0238,0.028866667
"10",6.15888394964983,7.32817467887211,0.025966667,0.0299
"11",6.14996290492866,7.32889686647531,0.025966667,0.031266667
"12",6.14739934872874,7.33992722991887,0.030633333,0.033
"13",6.14139203609093,7.34813697899386,0.0317,0.032733333
"14",6.1338317883949,7.34755739949475,0.031566667,0.034333333
"15",6.1249021853377,7.35340217672313,0.0338,0.0363
"16",6.11589212548303,7.33778290991855,0.033433333,0.035333333
"17",6.10367653771491,7.3172788072178,0.018366667,0.032566667
"18",6.10835829857948,7.32264252566921,0.0102,0.031533333
"19",6.11853762967146,7.34601020991329,0.0171,0.0357
"20",6.12796029169652,7.36941166674004,0.027866667,0.037533333
"21",6.14010004624713,7.38175092949741,0.028,0.039166667
"22",6.14482920381428,7.40062057737113,0.0302,0.0406
"23",6.14868194830602,7.39602849827762,0.035333333,0.041566667
"24",6.13122648948314,7.40452254549709,0.043,0.041666667
"25",6.12948584500536,7.42153653057376,0.039433333,0.042233333
"26",6.12183469826984,7.4186608995483,0.0309,0.041066667
"27",6.13013894179574,7.41962036232279,0.023933333,0.0383
"28",6.1222734872194,7.41101233324818,0.0236,0.039066667
"29",6.12686918411419,7.42135704569488,0.023766667,0.038266667
"30",6.13448205394291,7.43372564007458,0.023266667,0.038033333
"31",6.13599769784028,7.44792608994259,0.023233333,0.039733333
"32",6.14289725086819,7.47016715421956,0.024766667,0.040066667
"33",6.14718542210476,7.48318817152253,0.0274,0.0406
"34",6.14953610167848,7.49353994121358,0.027166667,0.0389
"35",6.1452580202874,7.50279336643176,0.028566667,0.0398
"36",6.14782706473184,7.50113737135251,0.028033333,0.038766667
"37",6.15676709873234,7.51458175307556,0.0291,0.039133333
"38",6.16289366273551,7.52833176670725,0.029433333,0.0398
"39",6.16898292039592,7.5456539853116,0.0328,0.040133333
"40",6.1735777488642,7.55281454873503,0.034966667,0.041066667
"41",6.17773662364629,7.57491776257009,0.035366667,0.041566667
"42",6.1837364347551,7.58345106592833,0.0348,0.041633333
"43",6.1970549391746,7.59347494371329,0.035066667,0.041433333
"44",6.20576914975499,7.59774748784878,0.036866667,0.0414
"45",6.21120230528736,7.61918432322009,0.039,0.0415
"46",6.20979654142497,7.63356324178163,0.0388,0.041433333
"47",6.21800233149021,7.64935923481028,0.0386,0.041966667
"48",6.23008766927058,7.67210621854841,0.041566667,0.0435
"49",6.23793392372569,7.69170248386852,0.046333333,0.045566667
"50",6.23793392372569,7.69430172380063,0.045966667,0.045833333
"51",6.22693184811102,7.70449641575219,0.0505,0.0478
"52",6.22078895749727,7.70939805569538,0.0458,0.046966667
"53",6.22870822280097,7.715034393587,0.045266667,0.0444
"54",6.23597812415838,7.7209939397999,0.036566667,0.0471
"55",6.24997524225948,7.73530222502174,0.043466667,0.049333333
"56",6.25632569177406,7.74092523746191,0.047866667,0.0533
"57",6.25747599864937,7.75246407635062,0.050633333,0.052433333
"58",6.26415987725144,7.76933636105077,0.055066667,0.053033333
"59",6.26966430417027,7.77708018157555,0.052266667,0.050733333
"60",6.28002123697042,7.77611547709874,0.0558,0.0542
"61",6.28506656207075,7.79007549128514,0.0614,0.058833333
"62",6.27814611922618,7.79144017110738,0.0624,0.059133333
"63",6.26833842084316,7.79696254244655,0.070466667,0.061366667
"64",6.25996380014299,7.79296805528543,0.073166667,0.065333333
"65",6.2565175014994,7.78680094482638,0.0726,0.065633333
"66",6.25016827382074,7.78592868874316,0.067533333,0.0682
"67",6.25267429922865,7.79803052365301,0.063833333,0.0665
"68",6.25613384525069,7.7889575481838,0.0536,0.062666667
"69",6.26282667069267,7.81544916363077,0.0386,0.058233333
"70",6.27438530245805,7.8153684696626,0.042066667,0.058833333
"71",6.28058308734572,7.82047965897668,0.0505,0.0575
"72",6.28506656207075,7.82043951526218,0.042333333,0.0552
"73",6.29637240022483,7.84212165758352,0.034333333,0.0565
"74",6.30591025682898,7.86138033050298,0.037466667,0.056566667
"75",6.31788644787569,7.8717308024217,0.0424,0.056266667
"76",6.33239113407858,7.89032052428691,0.0485,0.0561
"77",6.33717965081037,7.91352101728389,0.0564,0.061
"78",6.32811533921579,7.91607809630279,0.0661,0.062266667
"79",6.32094813419352,7.91509256887463,0.0839,0.065966667
"80",6.30718727971528,7.92399993721482,0.074633333,0.063
"81",6.29545048626629,7.9184102888911,0.076033333,0.066366667
"82",6.27814611922618,7.92124531423341,0.082666667,0.0705
"83",6.25919898175007,7.90812977322792,0.082833333,0.0727
"84",6.23812929346354,7.89930189533506,0.073333333,0.069733333
"85",6.22515231229786,7.87955640078386,0.0587,0.067033333
"86",6.22811644844698,7.88968392743716,0.054,0.069733333
"87",6.22554803846053,7.90651039927718,0.063333333,0.070933333
"88",6.21660610108486,7.92033752717421,0.056833333,0.072233333
"89",6.21899844672348,7.93894489133281,0.049533333,0.0691
"90",6.22554803846053,7.94339226848873,0.051666667,0.068866667
"91",6.21979462510949,7.9475371685864,0.0517,0.0679
"92",6.22515231229786,7.95745739628024,0.046966667,0.0655
"93",6.23067827859969,7.97108575350561,0.046233333,0.070133333
"94",6.22989072195335,7.98708280623838,0.048266667,0.070966667
"95",6.23323356254536,8.00696738772221,0.054733333,0.069766667
"96",6.24027584517077,8.0043989645554,0.061366667,0.0716
"97",6.24163943747322,8.0131776595788,0.0641,0.0758
"98",6.24241779906146,8.04427331404948,0.064833333,0.0785
"99",6.23930071101256,8.05280576175603,0.073166667,0.079333333
"100",6.233822317346,8.06513949389348,0.0868,0.081966667
"101",6.22118641378231,8.06517092412622,0.0936,0.084366667
"102",6.206777519307,8.0642905039832,0.093733333,0.084366667
"103",6.20899235963656,8.07321591907471,0.0963,0.084833333
"104",6.18949539760712,8.07131225629063,0.11803333,0.096066667
"105",6.16120732169508,8.08128949416751,0.1346,0.1115
"106",6.11191070018385,8.05737748855799,0.1005,0.10016667
"107",6.14182232869654,8.05804245588827,0.092366667,0.10433333
"108",6.1426823588506,8.07065605753261,0.1371,0.1164
"109",6.12095654234074,8.08981984075919,0.14366667,0.1201
"110",6.11743618666992,8.08647181189191,0.1483,0.12656667
"111",6.10680014578789,8.09089252271994,0.15086667,0.136
"112",6.10278228323993,8.07691922360119,0.12023333,0.1323
"113",6.11191070018385,8.06161304187622,0.12893333,0.13446667
"114",6.10278228323993,8.06460502873889,0.1236,0.12943333
"115",6.10724558009369,8.05658528381086,0.097066667,0.122
"116",6.14182232869654,8.05810576305466,0.079333333,0.1034
"117",6.16499759786886,8.06670979665641,0.0808,0.10436667
"118",6.18270454940918,8.0889608659541,0.0842,0.10346667
"119",6.20172547259118,8.10361526319752,0.091866667,0.1126
"120",6.20738205333045,8.12121295931929,0.087933333,0.11323333
"121",6.20959555659865,8.14662214228539,0.091333333,0.11543333
"122",6.21540777859276,8.15994665557855,0.098433333,0.12686667
"123",6.21760360740199,8.16638670861187,0.10343333,0.1234
"124",6.21899844672348,8.17052515381653,0.089733333,0.11373333
"125",6.2363695902037,8.18241951143061,0.081833333,0.11426667
"126",6.25036126812801,8.18846687752696,0.075233333,0.10913333
"127",6.28020855550614,8.19858444828396,0.071033333,0.1059
"128",6.29747757624449,8.2058739491983,0.071466667,0.1008
"129",6.31608106735283,8.2212907575176,0.068866667,0.089033333
"130",6.35749558597074,8.21921832947903,0.0613,0.079466667
"131",6.39359075395063,8.22182834858503,0.055333333,0.078866667
"132",6.42971947803914,8.22542277305585,0.0534,0.0784
"133",6.44873115377941,8.23660589144032,0.055333333,0.076366667
"134",6.45330998865225,8.24879073369641,0.057333333,0.085766667
"135",6.44587853694801,8.25979457767292,0.060333333,0.090833333
"136",6.44651315540497,8.27461194620955,0.060033333,0.0924
